,顾客编号,1月消费额,2月消费额,3月消费额,4月消费额,1月消费次数,2月消费次数,3月消费次数,4月消费次数
38,38,234.45000000000002,145.35000000000002,,,22,13.0,,
39,39,155.79999999999998,45.36,245.99000000000012,69.17999999999999,29,10.0,31.0,12.0
40,40,32.65,303.85,,,6,14.0,,
41,41,38.43,40.13,,,9,1.0,,
42,42,27.650000000000002,,,,4,,,
43,43,55.8,48.83,,,5,7.0,,
44,44,100.70000000000003,59.88,29.82,,27,7.0,8.0,
45,45,12.5,,,,5,,,
46,46,88.66,12.46,60.63,89.93,9,4.0,13.0,19.0
47,47,550.65,39.29,452.84,301.64,90,7.0,61.0,34.0
48,48,3.4299999999999997,,17.75,,3,,5.0,
49,49,253.12000000000006,,206.81000000000003,146.16,38,,17.0,17.0
50,50,51.8,17.5,,,4,2.0,,
51,51,519.7199999999999,126.81000000000002,73.58,187.99000000000004,124,32.0,19.0,38.0
52,52,307.27000000000004,2025.0800000000006,381.50999999999993,875.2899999999997,38,141.0,51.0,62.0
53,53,35.44,,,,2,,,
54,54,54.29,,,,3,,,
55,55,99.84,,28.78,139.10000000000002,8,,6.0,17.0
56,56,103.02000000000002,18.3,214.56,26.270000000000003,13,2.0,10.0,2.0
57,57,61.3,76.24999999999999,25.45,33.3,6,12.0,3.0,5.0
58,58,126.89999999999998,,,,14,,,
59,59,13.84,,,,4,,,
60,60,45.73,31.6,,,7,7.0,,
61,61,75.51,196.88,67.25999999999999,290.16999999999996,23,27.0,20.0,47.0
62,62,296.12,,,,17,,,
63,63,35.07,,,,7,,,
64,64,232.22000000000006,72.66000000000001,104.01000000000002,45.5,30,12.0,8.0,8.0
65,65,23.15,,32.1,,6,,3.0,
66,66,141.38,,,,9,,,
67,67,6.8,,,,1,,,
68,68,195.39000000000007,162.20000000000002,60.22,206.12000000000003,26,10.0,7.0,19.0
69,69,88.3,,,,10,,,
70,70,149.89000000000001,73.7,74.57000000000001,11.07,33,13.0,11.0,2.0
71,71,173.30999999999995,11.149999999999999,,,30,5.0,,
72,72,739.53,196.0,,,58,1.0,,
73,73,352.8,296.3500000000001,208.95000000000002,239.29000000000005,32,31.0,18.0,31.0
74,74,682.8099999999996,137.30000000000004,316.8,541.4599999999999,52,13.0,15.0,37.0
75,75,185.40000000000003,19.64,181.15000000000003,214.86999999999998,30,6.0,40.0,32.0
76,76,246.99,31.799999999999997,,,33,6.0,,
77,77,100.9,,12.4,,14,,3.0,
78,78,338.93,503.51,59.47,21.19,15,33.0,7.0,8.0
79,79,26.89,,,,6,,,
80,80,199.4,,,,9,,,
81,81,257.46999999999997,254.07000000000002,273.79999999999995,211.13000000000002,31,46.0,26.0,26.0
82,82,34.48,,,,6,,,
83,83,89.85,,,,13,,,
84,84,396.68999999999994,416.59999999999985,232.10000000000005,413.24000000000007,38,26.0,10.0,33.0
85,85,26.18,,82.11,,3,,5.0,
86,86,197.30000000000004,,,,7,,,
87,87,351.88999999999993,123.47999999999999,250.80999999999997,173.08000000000007,29,6.0,22.0,29.0
88,88,102.88,190.01000000000002,71.72,,14,8.0,13.0,
89,89,26.5,,,,5,,,
90,90,197.23000000000005,284.98999999999995,,,22,24.0,,
91,91,377.49999999999994,98.34,96.14000000000001,576.1899999999998,43,9.0,11.0,44.0
92,92,1020.22,215.02999999999997,,,98,28.0,,
93,93,260.28000000000003,112.92,222.53000000000003,277.2299999999999,43,21.0,31.0,42.0
94,94,361.49999999999994,,33.2,,33,,5.0,
95,95,36.84,62.160000000000004,63.36000000000001,50.629999999999995,9,13.0,15.0,6.0
96,96,73.82000000000001,,,,15,,,
97,97,7.11,,,,3,,,
98,98,22.700000000000003,,,,3,,,
99,99,214.24,,,,7,,,
100,100,44.72,,,,2,,,
101,101,21.9,,,,4,,,
102,102,90.19,162.88,152.58,161.9,21,39.0,16.0,13.0
103,103,137.43,,33.730000000000004,,9,,8.0,
104,104,91.38000000000001,,118.69,,9,,8.0,
105,105,348.32000000000005,121.47999999999999,79.76,149.59000000000003,61,33.0,8.0,15.0
106,106,183.1,72.71,32.57,117.79,14,10.0,6.0,18.0
107,107,215.46,438.90000000000003,61.75,44.75,15,11.0,7.0,3.0
108,108,677.5300000000001,671.75,514.0599999999998,485.88000000000005,84,17.0,43.0,29.0
109,109,24.7,73.6,,,4,6.0,,
110,110,103.12,,,,14,,,
111,111,17.85,,,,2,,,
112,112,44.38999999999999,,,,4,,,
113,113,129.92,138.51,34.54,402.40999999999985,19,19.0,9.0,35.0
114,114,188.29000000000005,,,,17,,,
115,115,109.61,,,,12,,,
116,116,112.6,,,,2,,,
117,117,260.96000000000004,,32.0,19.47,9,,5.0,5.0
118,118,85.66000000000001,61.28,202.40000000000003,,10,4.0,14.0,
119,119,148.51999999999998,235.24000000000007,239.47000000000006,112.60999999999999,11,25.0,20.0,8.0
120,120,58.370000000000005,,,,3,,,
121,121,193.15000000000003,14.9,80.52,142.67000000000002,16,2.0,11.0,19.0
122,122,75.18,41.540000000000006,36.11,,5,8.0,6.0,
123,123,42.57,,,,3,,,
124,124,23.96,,,,6,,,
125,125,10.9,,,,1,,,
126,126,143.93,261.07,170.06,,7,7.0,14.0,
127,127,435.6199999999999,63.55,221.62,172.31000000000003,72,6.0,28.0,23.0
128,128,94.10000000000001,,,,17,,,
129,129,172.52,,,,14,,,
130,130,103.67,44.349999999999994,,,16,15.0,,
131,131,152.5,,,,11,,,
132,132,64.8,119.4,,,11,8.0,,
133,133,115.13000000000001,,,,26,,,
134,134,175.32,55.4,137.56,134.44000000000005,20,7.0,12.0,18.0
135,135,55.309999999999995,,,,5,,,
136,136,45.26,,,,6,,,
137,137,57.830000000000005,,,,13,,,
138,138,31.78,,,,2,,,
139,139,148.25,471.09,269.91999999999996,69.21,19,20.0,29.0,6.0
140,140,170.41000000000003,,,,31,,,
141,141,35.720000000000006,,,,5,,,
142,142,301.4700000000001,295.26,246.34,255.05,52,41.0,25.0,28.0
143,143,91.50999999999999,127.8,,,11,1.0,,
144,144,271.21999999999997,462.85999999999996,149.35999999999999,224.29,43,46.0,18.0,21.0
145,145,202.04999999999998,203.03000000000003,420.2199999999998,243.15,17,14.0,32.0,15.0
146,146,233.62,161.17000000000002,30.95,65.85,38,13.0,7.0,15.0
147,147,59.7,35.3,,,1,6.0,,
148,148,31.799999999999997,,,,2,,,
149,149,101.81000000000002,,,,13,,,
150,150,3.0300000000000002,,,,2,,,
151,151,400.9399999999999,102.5,,,41,4.0,,
152,152,60.19,25.39,27.65,12.260000000000002,15,5.0,2.0,3.0
153,153,219.89000000000001,,86.0,,16,,8.0,
154,154,53.82000000000001,,,,6,,,
155,155,89.10000000000001,,,,9,,,
156,156,141.77000000000004,12.96,51.32,110.09000000000002,20,3.0,8.0,19.0
157,157,12.440000000000001,,22.799999999999997,,3,,3.0,
158,158,21.9,,,,4,,,
159,159,59.75,440.4,,,10,5.0,,
160,160,59.129999999999995,66.49000000000001,,,2,4.0,,
161,161,27.279999999999998,,,,3,,,
162,162,106.50999999999999,,147.92000000000002,,13,,8.0,
163,163,161.86999999999998,102.17000000000002,,,20,10.0,,
164,164,196.71000000000004,,114.24000000000001,274.76000000000005,27,,19.0,17.0
165,165,40.95,,,,2,,,
166,166,40.480000000000004,,23.78,3.5,4,,6.0,1.0
167,167,133.56000000000003,,69.17999999999999,84.56,10,,10.0,8.0
168,168,65.28999999999999,80.3,71.13999999999999,44.34,8,6.0,14.0,7.0
169,169,43.82,,67.24,,6,,5.0,
170,170,7.3,,,,1,,,
171,171,47.34,48.36999999999999,,,6,11.0,,
172,172,180.18,373.1,48.94,34.92,13,7.0,3.0,3.0
173,173,73.3,53.7,,,3,5.0,,
174,174,402.83,64.51,516.91,249.91000000000005,60,6.0,46.0,34.0
175,175,106.60000000000002,,,,4,,,
176,176,59.32,33.82,,,7,8.0,,
177,177,243.95000000000002,131.97,105.30000000000001,,18,7.0,6.0,
178,178,20.200000000000003,,,,2,,,
179,179,145.53,,136.16000000000003,109.38999999999999,6,,15.0,10.0
180,180,42.01,2.7,,,4,1.0,,
181,181,378.6599999999999,135.42,,,46,14.0,,
182,182,44.9,92.47999999999999,,,2,6.0,,
183,183,120.76,296.96,41.440000000000005,70.39999999999999,17,30.0,6.0,8.0
184,184,56.69,,,,5,,,
185,185,22.37,,17.16,,5,,2.0,
186,186,34.510000000000005,,,,8,,,
187,187,149.34,,31.66,,22,,6.0,
188,188,158.34000000000003,,,,22,,,
189,189,78.48,101.30000000000001,11.5,152.32999999999998,10,5.0,1.0,3.0
190,190,294.7799999999999,37.43,171.83000000000004,263.2,29,10.0,24.0,24.0
191,191,54.599999999999994,25.9,89.6,,10,2.0,5.0,
192,192,19.5,,,,3,,,
193,193,28.110000000000003,,,,6,,,
194,194,46.44,,,,3,,,
195,195,20.33,,,,2,,,
196,196,225.95000000000002,,70.99,,28,,11.0,
197,197,293.06000000000006,,,,19,,,
198,198,102.72,,,,20,,,
199,199,49.54,134.96,13.780000000000001,80.85,17,16.0,3.0,10.0
200,200,19.09,,,,3,,,
201,201,60.49999999999999,132.27,60.93,24.1,9,9.0,7.0,5.0
202,202,30.6,,,,5,,,
203,203,375.49999999999994,6.5,85.60000000000001,,24,1.0,3.0,
204,204,169.46,50.379999999999995,142.74,94.78,33,8.0,21.0,25.0
205,205,365.9599999999999,138.36999999999998,205.40999999999997,178.56000000000006,60,18.0,20.0,27.0
206,206,38.099999999999994,,,,3,,,
207,207,70.38,,84.49000000000001,6.92,13,,16.0,3.0
208,208,54.699999999999996,,,,4,,,
209,209,52.35,,26.83,36.650000000000006,8,,5.0,6.0
210,210,339.43999999999994,596.86,673.47,379.95999999999987,59,72.0,78.0,56.0
211,211,91.61,,,,7,,,
212,212,374.81999999999994,277.1099999999999,186.76,250.89000000000001,43,44.0,29.0,21.0
213,213,42.199999999999996,,,,2,,,
214,214,134.0,,,,6,,,
215,215,151.85,149.65999999999997,260.24,296.2699999999999,27,20.0,46.0,35.0
216,216,91.1,,,,14,,,
217,217,77.24,,,,23,,,
218,218,121.27000000000001,,,,18,,,
219,219,18.4,,,,3,,,
220,220,178.93,34.7,145.3,147.76,15,7.0,14.0,16.0
221,221,57.28,489.03,79.3,77.74000000000001,6,13.0,11.0,2.0
222,222,14.919999999999998,,,,3,,,
223,223,348.6499999999999,21.01,254.11,120.59000000000002,53,7.0,46.0,22.0
224,224,65.69999999999999,,,,3,,,
225,225,32.0,,,,3,,,
226,226,107.83,113.2,302.23000000000013,81.27,17,5.0,20.0,6.0
227,227,82.69000000000001,34.39,55.470000000000006,155.14000000000001,18,8.0,13.0,21.0
228,228,142.27999999999997,30.71,22.15,,17,9.0,3.0,
229,229,62.57000000000001,,,,11,,,
230,230,154.3,,,,8,,,
231,231,332.9999999999999,332.24999999999994,592.5899999999998,245.57000000000002,40,44.0,58.0,26.0
232,232,11.5,,,,3,,,
233,233,27.9,82.30000000000001,,,1,12.0,,
234,234,16.5,,,,2,,,
235,235,133.1,182.70000000000002,187.41,125.60000000000001,16,16.0,15.0,13.0
236,236,29.0,177.13,132.52,390.98999999999995,8,24.0,23.0,31.0
237,237,79.35000000000001,22.419999999999998,,,9,4.0,,
238,238,106.8,95.05000000000003,63.38,168.11000000000004,16,14.0,10.0,17.0
239,239,18.5,,,,2,,,
240,240,110.68,,,,12,,,
241,241,42.50000000000001,115.03999999999999,68.43,64.0,8,16.0,7.0,7.0
242,242,249.67,41.34,74.22,100.25,37,4.0,11.0,13.0
243,243,43.7,,,,3,,,
244,244,73.66,,14.34,76.03999999999999,8,,5.0,10.0
245,245,21.53,,,,2,,,
246,246,144.02999999999997,,,,16,,,
247,247,193.97999999999996,,,,30,,,
248,248,171.08,,,,17,,,
249,249,572.15,342.91999999999996,,,53,23.0,,
250,250,202.51000000000005,,285.9800000000001,585.6500000000001,25,,29.0,43.0
251,251,29.200000000000003,,,,4,,,
252,252,65.1,,,,4,,,
253,253,13.9,18.14,,,2,2.0,,
254,254,23.7,,,,4,,,
255,255,181.1,75.69,,,17,7.0,,
256,256,275.61999999999995,15.16,147.38000000000002,,33,3.0,11.0,
257,257,8.67,,,,2,,,
258,258,203.72000000000006,94.3,37.62,82.2,19,7.0,4.0,7.0
259,259,120.73000000000002,,,,9,,,
260,260,24.57,94.13000000000001,55.949999999999996,426.70999999999987,8,21.0,22.0,59.0
261,261,103.99,125.89000000000001,57.24999999999999,160.16,20,22.0,10.0,29.0
262,262,21.9,44.9,,,1,4.0,,
263,263,18.62,,,,4,,,
264,264,186.94000000000003,30.350000000000005,,,19,6.0,,
265,265,253.81000000000003,237.01,92.35999999999999,247.05000000000004,25,18.0,10.0,27.0
266,266,163.21,,,,24,,,
267,267,310.50000000000006,117.47000000000001,131.79000000000002,94.37,26,13.0,27.0,10.0
268,268,81.85,,87.15,,8,,12.0,
269,269,218.65999999999997,,184.82000000000005,34.21,21,,26.0,5.0
270,270,211.53,196.15,144.57000000000002,98.25000000000001,36,10.0,25.0,15.0
271,271,81.68,90.31,130.12,5.9,9,10.0,4.0,1.0
272,272,89.1,,,,3,,,
273,273,74.5,73.30000000000001,,,7,5.0,,
274,274,366.04999999999995,,145.39999999999998,231.11000000000004,42,,15.0,25.0
275,275,15.55,,,,3,,,
276,276,36.04,,,,7,,,
277,277,117.14,487.5,,,13,11.0,,
278,278,199.22,,25.51,66.19999999999999,8,,2.0,3.0
279,279,20.62,21.759999999999998,,,3,5.0,,
280,280,127.95000000000003,48.0,,,29,7.0,,
281,281,67.30000000000001,9.2,30.940000000000005,81.49,18,2.0,7.0,16.0
282,282,23.2,,,,2,,,
283,283,51.8,,,,2,,,
284,284,62.129999999999995,46.419999999999995,249.97999999999996,121.73000000000002,13,12.0,40.0,16.0
285,285,12.59,,,,3,,,
286,286,367.30999999999995,282.78999999999996,139.75,198.23000000000008,14,17.0,12.0,29.0
287,287,70.86999999999999,95.49,108.63000000000001,30.3,15,10.0,20.0,6.0
288,288,4.5,,,,1,,,
289,289,4.16,,,,2,,,
290,290,77.9,,,,3,,,
291,291,77.59,,,,7,,,
292,292,18.35,,,,3,,,
293,293,42.24,,,,10,,,
294,294,315.00000000000006,,73.9,129.76,22,,8.0,14.0
295,295,20.6,,,,7,,,
296,296,55.86,,,,3,,,
297,297,126.3,,676.9999999999999,185.63,8,,23.0,6.0
298,298,21.6,243.26000000000002,19.4,5.699999999999999,6,16.0,2.0,2.0
299,299,156.5,,,,17,,,
300,300,131.37,142.95000000000002,96.03,62.4,13,13.0,15.0,12.0
301,301,107.09000000000002,97.60000000000001,,,22,4.0,,
302,302,50.2,,,,11,,,
303,303,63.019999999999996,155.29,48.0,273.76,8,21.0,7.0,36.0
304,304,534.67,166.43,233.97999999999996,538.1599999999999,56,18.0,22.0,63.0
305,305,34.20000000000001,,,,6,,,
306,306,97.22,29.9,140.67,80.7,17,5.0,17.0,8.0
307,307,35.76,,,,10,,,
308,308,276.39000000000004,18.0,44.1,30.6,27,2.0,10.0,2.0
309,309,152.86000000000004,162.73000000000002,195.57000000000005,89.9,30,23.0,22.0,10.0
310,310,105.66000000000001,,22.3,65.23,6,,3.0,6.0
311,311,183.65,,66.79,55.15,19,,9.0,11.0
312,312,188.8,,,,3,,,
313,313,27.5,100.61999999999999,77.81,,9,13.0,4.0,
314,314,76.13,,,,19,,,
315,315,57.18,,,,6,,,
316,316,648.5500000000001,86.51000000000002,103.16,49.0,22,10.0,8.0,1.0
317,317,55.04,250.29,39.12,,15,32.0,10.0,
318,318,120.35,401.34,257.84,74.5,10,25.0,25.0,5.0
319,319,7.050000000000001,,,,2,,,
320,320,16.8,41.96,,,2,4.0,,
321,321,61.25,,92.58999999999999,,8,,10.0,
322,322,16.81,,,,3,,,
323,323,45.49999999999999,,,,5,,,
324,324,8.5,,,,2,,,
325,325,85.89,,,,5,,,
326,326,350.9999999999999,163.9,60.74999999999999,160.60000000000002,22,17.0,7.0,16.0
327,327,96.33,,74.9,31.15,19,,13.0,5.0
328,328,78.7,26.0,,,5,5.0,,
329,329,155.0,,141.79000000000002,16.71,2,,7.0,3.0
330,330,38.72,,66.67,67.72999999999999,3,,5.0,5.0
331,331,62.589999999999996,,4.8,117.73000000000002,11,,3.0,15.0
332,332,182.50000000000003,,,,23,,,
333,333,145.3,,,,11,,,
334,334,97.4,,,,13,,,
335,335,33.56,,,,4,,,
336,336,36.8,64.67999999999999,,,2,12.0,,
337,337,56.74,221.38000000000008,61.57,163.17000000000002,8,27.0,9.0,12.0
338,338,72.7,,,,3,,,
339,339,88.47999999999999,77.15999999999998,96.80000000000003,61.080000000000005,17,15.0,26.0,15.0
340,340,105.0,,,,1,,,
341,341,9.9,,110.88,,2,,8.0,
342,342,23.409999999999997,13.21,,,7,6.0,,
343,343,38.0,,,,4,,,
344,344,177.86999999999998,27.72,190.43000000000004,103.10000000000002,27,5.0,28.0,26.0
345,345,93.14,,,,9,,,
346,346,294.45000000000005,,26.57,,28,,7.0,
347,347,54.989999999999995,125.48000000000002,41.589999999999996,211.18000000000006,8,13.0,6.0,21.0
348,348,80.49000000000001,118.41000000000001,290.94000000000005,599.3899999999999,12,9.0,26.0,41.0
349,349,74.46999999999998,,,,10,,,
350,350,57.4,,47.13,34.3,7,,5.0,5.0
351,351,91.5,,,,10,,,
352,352,228.18000000000006,67.99999999999999,12.93,211.65999999999997,34,8.0,2.0,27.0
353,353,173.75,144.74,117.21000000000001,52.8,13,12.0,12.0,3.0
354,354,238.15,70.35,79.85,116.17,16,13.0,4.0,7.0
355,355,215.49000000000004,194.85,,,23,25.0,,
356,356,53.62,,,,5,,,
357,357,150.54999999999998,,59.24,,12,,7.0,
358,358,45.81,,,,5,,,
359,359,30.22,,,,3,,,
360,360,25.43,,,,5,,,
361,361,90.4,59.3,,,7,4.0,,
362,362,164.60000000000002,,,,11,,,
363,363,27.7,,,,4,,,
364,364,17.33,,,,2,,,
365,365,200.89000000000004,33.19,102.67999999999999,145.3,19,6.0,11.0,9.0
366,366,3.25,,,,3,,,
367,367,116.27999999999997,,,,12,,,
368,368,92.4,52.96,45.99999999999999,31.56,10,2.0,10.0,5.0
369,369,32.29,100.0,,,3,9.0,,
370,370,51.07,,,,4,,,
371,371,46.61,28.03,66.99,200.18,13,6.0,8.0,28.0
372,372,470.61999999999995,321.14000000000004,314.78,412.33999999999986,32,34.0,43.0,62.0
373,373,143.17000000000004,5.16,90.4,14.9,12,2.0,10.0,1.0
374,374,271.90000000000003,,61.629999999999995,,30,,10.0,
375,375,142.23,63.239999999999995,,,6,10.0,,
376,376,38.7,,18.419999999999998,,5,,4.0,
377,377,335.92999999999995,492.79999999999995,,,18,12.0,,
378,378,136.0,176.5,,,11,5.0,,
379,379,31.27,,,,10,,,
380,380,32.16,249.31000000000006,,,5,26.0,,
381,381,125.12,69.64,27.299999999999997,190.62,13,16.0,7.0,23.0
382,382,159.4,71.59000000000002,,,10,15.0,,
383,383,44.3,92.03,87.67,78.1,12,13.0,6.0,3.0
384,384,32.5,,,,6,,,
385,385,72.6,38.879999999999995,27.73,124.27,13,6.0,4.0,19.0
386,386,70.01999999999998,64.7,,,9,2.0,,
387,387,90.03999999999999,,132.68,,15,,19.0,
388,388,166.50000000000003,42.3,,,9,7.0,,
389,389,72.66,116.15,,,6,8.0,,
390,390,33.72,24.200000000000003,,,6,3.0,,
391,391,56.06999999999999,,,,4,,,
392,392,51.5,,,,7,,,
393,393,53.13,,,,3,,,
394,394,140.2,,,,18,,,
395,395,251.63000000000002,410.3899999999998,542.0199999999998,616.1599999999996,25,39.0,49.0,62.0
396,396,129.84000000000003,34.68,209.92000000000004,125.52,32,11.0,20.0,10.0
397,397,113.0,70.78,137.95,52.15,19,11.0,13.0,15.0
398,398,79.1,45.910000000000004,135.30000000000004,331.50999999999993,13,6.0,24.0,53.0
399,399,185.65,,,,4,,,
400,400,128.35999999999999,238.59,250.04999999999993,234.94999999999996,27,31.0,52.0,34.0
401,401,49.42,,,,4,,,
402,402,47.04,88.82000000000002,198.76,49.5,6,7.0,15.0,10.0
403,403,210.58999999999997,,135.74,,8,,8.0,
404,404,114.56,212.04,38.58,219.43000000000004,8,22.0,4.0,20.0
405,405,76.25000000000001,,104.53,106.13000000000001,16,,14.0,13.0
406,406,37.89,,,,3,,,
407,407,38.7,,,,7,,,
408,408,80.86999999999999,,105.06,111.59000000000003,9,,13.0,22.0
409,409,41.67,27.64,,,4,9.0,,
410,410,21.299999999999997,,,,2,,,
411,411,52.22,70.85,42.660000000000004,90.75,10,10.0,7.0,11.0
412,412,82.75000000000001,247.03000000000003,46.709999999999994,24.200000000000003,14,10.0,8.0,2.0
413,413,42.0,,,,1,,,
414,414,20.8,,,,2,,,
415,415,214.92999999999998,54.92,86.62,58.07,19,6.0,13.0,3.0
416,416,200.67,,,,5,,,
417,417,171.23,,,,12,,,
418,418,11.9,,,,3,,,
419,419,27.9,,39.1,,6,,7.0,
420,420,22.790000000000003,,,,4,,,
421,421,174.89,39.22,17.779999999999998,152.02,17,3.0,4.0,17.0
422,422,2.89,,,,1,,,
423,423,191.5,,,,14,,,
424,424,208.59000000000006,,,,24,,,
425,425,111.36000000000001,122.96,,,13,8.0,,
426,426,43.480000000000004,,,,5,,,
427,427,46.33,,,,2,,,
428,428,26.7,,,,7,,,
429,429,132.29,,,,16,,,
430,430,41.800000000000004,,,,6,,,
431,431,106.41999999999999,89.43,55.849999999999994,63.34,10,5.0,4.0,5.0
432,432,124.03,,,,6,,,
433,433,190.76999999999998,,34.3,,24,,5.0,
434,434,83.74000000000001,58.8,35.4,33.7,9,1.0,5.0,3.0
435,435,75.06,34.1,21.099999999999998,,14,5.0,5.0,
436,436,119.91,,,,15,,,
437,437,166.67000000000002,,18.81,75.57000000000001,18,,3.0,11.0
438,438,230.20999999999995,916.3999999999999,,,17,13.0,,
439,439,40.9,248.87,64.19,109.03999999999999,1,17.0,6.0,16.0
440,440,72.17,127.39,91.71000000000001,30.57,8,11.0,7.0,5.0
441,441,308.08,,136.97000000000003,75.01,51,,11.0,13.0
442,442,52.83,22.700000000000003,58.599999999999994,17.7,4,2.0,7.0,3.0
443,443,8.59,201.9,57.56,102.35,3,3.0,8.0,22.0
444,444,15.600000000000001,129.60000000000002,85.60999999999999,42.35,2,19.0,9.0,7.0
445,445,30.150000000000002,,12.739999999999998,,8,,3.0,
446,446,37.2,,,,4,,,
447,447,14.8,,27.64,82.96000000000001,2,,3.0,10.0
448,448,10.9,,,,1,,,
449,449,17.1,,,,3,,,
450,450,27.200000000000003,,362.12,49.92,2,,35.0,8.0
451,451,37.05,,,,5,,,
452,452,19.9,,,,1,,,
453,453,81.98,95.62,139.83,46.99,9,7.0,7.0,8.0
454,454,106.97000000000003,211.59000000000003,75.62,451.3799999999999,21,29.0,13.0,61.0
455,455,21.8,,,,1,,,
456,456,78.0,54.9,,,1,1.0,,
457,457,27.880000000000003,,39.449999999999996,,5,,5.0,
458,458,46.3,72.03,,,7,10.0,,
459,459,96.1,11.9,,,14,2.0,,
460,460,90.6,,,,4,,,
461,461,178.54000000000002,189.23000000000002,290.26,187.16,26,34.0,48.0,22.0
462,462,29.4,,,,3,,,
463,463,76.9,,,,1,,,
464,464,151.99000000000004,,175.4,296.90999999999997,23,,20.0,17.0
465,465,51.03,113.22000000000001,,,8,9.0,,
466,466,221.91000000000005,86.06,38.39,28.900000000000002,18,9.0,2.0,3.0
467,467,88.60000000000001,,,,4,,,
468,468,74.67,,,,13,,,
469,469,110.06999999999998,89.17000000000002,304.15000000000003,,23,8.0,22.0,
470,470,43.5,77.8,,,7,4.0,,
471,471,116.35000000000002,,,,16,,,
472,472,28.799999999999997,80.7,,,7,3.0,,
473,473,54.95,,,,3,,,
474,474,222.37000000000006,90.98,9.5,126.62000000000002,23,14.0,3.0,17.0
475,475,4.7,,,,3,,,
476,476,53.860000000000014,11.370000000000001,67.15,41.650000000000006,16,2.0,18.0,8.0
477,477,80.19,,,,11,,,
478,478,26.22,,,,8,,,
479,479,44.4,,,,7,,,
480,480,13.2,23.950000000000003,74.69999999999999,,6,3.0,9.0,
481,481,47.1,,65.6,,4,,13.0,
482,482,104.91999999999999,57.7,26.7,,17,13.0,6.0,
483,483,37.65,99.39000000000001,263.27000000000004,30.14,3,15.0,26.0,4.0
484,484,136.41000000000003,155.69,298.18999999999994,132.17,17,11.0,32.0,21.0
485,485,31.73,118.19999999999999,,,3,13.0,,
486,486,167.67000000000002,,,,4,,,
487,487,59.37,116.88000000000002,157.92000000000004,15.9,12,18.0,22.0,5.0
488,488,75.85,10.3,,,9,1.0,,
489,489,33.37,,101.03,,10,,5.0,
490,490,29.700000000000003,142.84,,,4,5.0,,
491,491,36.11,,,,3,,,
492,492,70.66,,203.25,,5,,12.0,
493,493,17.259999999999998,,,,3,,,
494,494,25.380000000000003,,,,2,,,
495,495,21.78,32.67,,,3,2.0,,
496,496,133.8,,222.8,,2,,2.0,
497,497,175.02000000000004,94.88000000000001,29.940000000000005,22.7,26,19.0,12.0,5.0
498,498,31.799999999999997,91.0,,,2,7.0,,
499,499,121.70000000000002,26.6,,,12,3.0,,
500,500,82.4,,,,4,,,
501,501,60.70000000000001,96.46000000000001,34.56999999999999,44.660000000000004,6,10.0,4.0,6.0
502,502,48.22,,,,3,,,
503,503,67.46,,,,14,,,
504,504,20.34,,,,3,,,
505,505,17.45,,,,2,,,
506,506,107.12,59.050000000000004,,,18,12.0,,
507,507,154.88000000000002,100.09000000000002,108.0,,17,12.0,11.0,
508,508,135.21,,,,16,,,
509,509,392.87,99.7,145.81,118.28999999999999,27,5.0,12.0,17.0
510,510,49.190000000000005,,,,4,,,
